id,exchange,coin_name,price,time_str,time_epoch_milli,volume,volume_percentage,fee_type,coin_pair
1954,Binance,BitCoin,9281.7,2019-11-02 04:33:17,1572669197788,398679365.0,0.0166,Percentage,BTC/USDT
1951,Binance,BitCoin,9285.87,2019-11-02 04:33:01,1572669181886,398895614.0,0.0166,Percentage,BTC/USDT
1948,Binance,BitCoin,9285.87,2019-11-02 04:32:45,1572669165851,398895614.0,0.0166,Percentage,BTC/USDT
1945,Binance,BitCoin,9285.87,2019-11-02 04:32:29,1572669149887,398895614.0,0.0166,Percentage,BTC/USDT
1942,Binance,BitCoin,9285.87,2019-11-02 04:32:14,1572669134039,398895614.0,0.0166,Percentage,BTC/USDT
1939,Binance,BitCoin,9286.24,2019-11-02 04:31:57,1572669117897,399034189.0,0.0166,Percentage,BTC/USDT
1936,Binance,BitCoin,9286.24,2019-11-02 04:31:41,1572669101846,399034189.0,0.0166,Percentage,BTC/USDT
1933,Binance,BitCoin,9286.24,2019-11-02 04:31:25,1572669085933,399034189.0,0.0166,Percentage,BTC/USDT
1930,Binance,BitCoin,9280.45,2019-11-02 04:31:10,1572669070070,398788659.0,0.0166,Percentage,BTC/USDT
1927,Binance,BitCoin,9280.45,2019-11-02 04:30:54,1572669054080,398788659.0,0.0166,Percentage,BTC/USDT
1924,Binance,BitCoin,9280.45,2019-11-02 04:30:38,1572669038230,398788659.0,0.0166,Percentage,BTC/USDT
1921,Binance,BitCoin,9280.45,2019-11-02 04:30:22,1572669022365,398788659.0,0.0166,Percentage,BTC/USDT
1918,Binance,BitCoin,9280.45,2019-11-02 04:30:06,1572669006505,398788659.0,0.0166,Percentage,BTC/USDT
1915,Binance,BitCoin,9279.82,2019-11-02 04:29:50,1572668990688,398925231.0,0.0166,Percentage,BTC/USDT
1912,Binance,BitCoin,9279.82,2019-11-02 04:29:34,1572668974753,398925231.0,0.0166,Percentage,BTC/USDT
1909,Binance,BitCoin,9279.82,2019-11-02 04:29:18,1572668958908,398925231.0,0.0166,Percentage,BTC/USDT
1906,Binance,BitCoin,9279.82,2019-11-02 04:29:02,1572668942667,398925231.0,0.0166,Percentage,BTC/USDT
1903,Binance,BitCoin,9285.87,2019-11-02 04:28:46,1572668926817,399172712.0,0.0166,Percentage,BTC/USDT
1900,Binance,BitCoin,9285.87,2019-11-02 04:28:30,1572668910946,399172712.0,0.0166,Percentage,BTC/USDT
1897,Binance,BitCoin,9285.87,2019-11-02 04:28:15,1572668895101,399172712.0,0.0166,Percentage,BTC/USDT
1894,Binance,BitCoin,9285.87,2019-11-02 04:27:59,1572668879067,399172712.0,0.0166,Percentage,BTC/USDT
1891,Binance,BitCoin,9282.71,2019-11-02 04:27:43,1572668863243,398953324.0,0.0166,Percentage,BTC/USDT
1888,Binance,BitCoin,9282.71,2019-11-02 04:27:27,1572668847386,398953324.0,0.0166,Percentage,BTC/USDT
1885,Binance,BitCoin,9282.71,2019-11-02 04:27:11,1572668831563,398953324.0,0.0166,Percentage,BTC/USDT
