CODES,DATES,OPEN,CLOSE,HIGH,LOW,VOLUME,TR,EFFECT_RATIO,SMOOTH,MIDDLE,TOP,BOTTOM,BUY,SELL
600309.SH,2010/01/11,10.970181,10.763469,11.047097,10.5856,9725666.0,,,,,,,0,0
600309.SH,2010/01/12,10.763469,11.071133999999999,11.080748,10.720203,9585514.0,0.3605450000000001,,,,,,0,0
600309.SH,2010/01/13,10.801927000000001,11.273039,11.402835000000001,10.734625,17308618.0,0.668210000000002,,,,,,0,0
600309.SH,2010/01/14,11.20093,11.835489,11.845103,11.20093,21152034.0,0.6441730000000003,,,10.763469,,,0,0
600309.SH,2010/01/15,11.912405,12.16719,12.691182000000001,11.912405,23034281.0,0.8556930000000005,,,,,,0,0
600309.SH,2010/01/18,12.210456,12.359481,12.527735,11.92202,10673474.0,0.605715,,,,,,0,0
600309.SH,2010/01/19,12.354674000000001,11.960478,12.498892,11.950863,11309234.0,0.5480289999999997,,,,,,0,0
600309.SH,2010/01/20,11.979707000000001,11.575896,12.042200999999999,11.465328999999999,9188138.0,0.5768719999999998,0.19074472728331368,,,,,0,0
600309.SH,2010/01/21,11.609547000000001,11.787416,12.027778999999999,11.479751,9641442.0,0.5480279999999986,0.1610809765400118,0.17937316911683404,,,,0,0
600309.SH,2010/01/22,11.633583999999999,11.364377000000001,11.633583999999999,11.191315,12677584.0,0.5961010000000009,0.020879113594328813,0.16151112565850173,,,,0,0
600309.SH,2010/01/25,11.383606,11.061519,11.729728999999999,11.051903999999999,9285395.0,0.6778250000000003,0.1755725554487108,0.07708849850841304,,,,0,0
600309.SH,2010/01/26,11.128821,10.508683,11.287461,10.359658,14203171.0,0.9278030000000008,0.3701716352634033,0.1702372376895463,10.947137618397676,,,0,0
600309.SH,2010/01/27,10.537527,10.282741999999999,10.600021,10.037571,12941186.0,0.5624500000000001,0.46803886675735673,0.28741517822312457,10.8605223274972,,,0,0
600309.SH,2010/01/28,10.133716999999999,10.580792,10.797119,10.128909,12858859.0,0.6682100000000002,0.30274270514773133,0.3463459842839997,10.786445226980433,,,0,0
600309.SH,2010/01/29,10.527911999999999,10.686552,11.008639,10.441382,11624355.0,0.5672569999999997,0.19556019186951382,0.2468128117018597,10.720094935158032,10.86390818787396,10.576281682442104,0,0
600309.SH,2010/02/01,10.686552,10.446189,10.768276,10.263513,8494183.0,0.5047630000000005,0.2977587070801073,0.1822728037063739,10.625300763618332,10.768862508941607,10.481739018295057,0,0
600309.SH,2010/02/02,10.47984,10.292356,10.797119,10.239477,8072105.0,0.5576419999999995,0.24004321588911676,0.24381169458587104,10.700199554628952,10.840430939663545,10.55996816959436,0,0
600309.SH,2010/02/03,10.292356,10.460611,10.47984,9.975077,8346508.0,0.5047629999999987,0.13997756289006386,0.2090582805353821,10.744484898962329,10.843051065072887,10.64591873285177,0,0
600309.SH,2010/02/04,10.455803,10.340428999999999,10.710589,10.282741999999999,8281182.0,0.42784700000000164,0.04435987779374927,0.14880369378326425,10.705637484840043,10.81134846781885,10.599926501861237,0,0
600309.SH,2010/02/05,10.191403999999999,10.345236,10.499069,10.085644,8780885.0,0.41342500000000015,0.017150273044839216,0.09122745329516084,10.648606141128568,10.778770892699459,10.518441389557676,0,0
600309.SH,2010/02/08,10.354851,10.489453999999999,10.547142,10.277935000000001,5382383.0,0.269206999999998,0.02814813627768408,0.0748431751667849,10.700154027273616,10.810864894245604,10.589443160301627,0,0
600309.SH,2010/02/09,10.527911999999999,10.715396,10.893265,10.499069,7244224.0,0.40381100000000103,0.009360504021148245,0.08146554442527212,10.700519085381929,10.80801365992236,10.593024510841499,0,0
600309.SH,2010/02/10,10.864421,10.888457,11.023061,10.801927000000001,5988370.0,0.3076650000000001,0.15333314842807433,0.07015256156112153,10.725314668526005,10.838503153838479,10.612126183213531,0,0
600309.SH,2010/02/11,10.864421,10.600021,10.864421,10.431767,17534370.0,0.45669000000000004,0.11053535809338771,0.15684576679539958,10.742960847356674,10.827994616242387,10.65792707847096,0,0
600309.SH,2010/02/12,10.600021,10.792311999999999,10.893265,10.575985000000001,7226205.0,0.31727999999999845,0.1277775744676749,0.13107505433580335,10.759552706882845,10.818340998126306,10.700764415639384,0,0
600309.SH,2010/02/22,10.662516,10.864421,10.999025,10.662516,5387063.0,0.3365089999999995,0.2092129361048357,0.1414574641955892,10.772237228364402,10.82896984013831,10.715504616590493,0,0
600309.SH,2010/02/23,10.849999,11.30669,11.335533,10.676938,11449334.0,0.658595,0.3496505327561675,0.19049381098785803,10.737832873108825,10.81205961759315,10.663606128624501,0,0
600309.SH,2010/02/24,11.268231,11.614355,11.65762,11.210544,12132842.0,0.44707599999999914,0.38423657939914524,0.27505838531554166,10.767249597792208,10.878155154735225,10.656344040849191,0,0
600309.SH,2010/02/25,11.623969,11.782608999999999,11.849911,11.537438,8397341.0,0.31247300000000067,0.3762710274838097,0.2958843918962595,10.777749413925473,10.906839820926647,10.6486590069243,0,0
600309.SH,2010/02/26,11.681656,11.532631,11.748958,11.479751,9490920.0,0.30285799999999874,0.2275042636697899,0.2910879305278854,10.866949238498636,10.984337393073943,10.749561083923329,0,0
600309.SH,2010/03/01,11.441293,11.720114,11.806645,11.441293,7133159.0,0.3653519999999997,0.40877173198625116,0.20150794371514227,10.9975123292476,11.108952304638425,10.886072353856775,0,0
